sex	education	result
m	p	d
m	m	e
m	h	a
m	m	d
m	p	c
m	h	c
m	m	c
f	h	c
m	h	e
f	m	c
f	h	b
f	m	c
m	m	c
m	p	b
f	p	d
f	m	e
f	m	a
f	m	e
m	p	a
f	h	c
f	h	a
f	p	e
f	h	e
f	h	c
m	m	b
f	m	e
m	m	b
m	m	b
m	m	b
f	p	d
f	h	c
m	m	b
f	m	d
f	h	a
f	p	c
m	m	a
f	m	c
f	m	e
f	m	c
m	m	b
f	m	e
m	h	c
f	p	b
f	m	b
f	h	c
m	h	c
f	p	d
f	m	a
f	h	d
f	m	e
m	m	d
f	h	d
f	p	c
m	m	b
f	h	b
f	m	b
f	m	e
f	h	d
m	m	e
f	h	c
m	m	b
f	m	b
f	m	e
f	h	d
f	m	e
f	h	c
m	p	d
f	m	b
m	h	c
f	m	a
f	h	c
f	p	a
f	m	e
m	h	c
f	p	d
f	m	d
m	h	c
f	h	c
f	m	b
f	m	e
f	m	d
f	h	b
m	h	b
f	h	c
f	h	c
f	m	e
f	h	e
f	m	e
m	m	d
f	h	b
m	m	e
f	p	d
f	h	c
f	m	b
f	m	b
f	h	a
m	p	b
f	h	c
f	m	e
f	p	c
